2026-02-08 00:51:42,297 | INFO | dataset_split.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:51:42,942 | INFO | dataset_split.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:51:43,310 | INFO | dataset_split.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:51:43,670 | INFO | dataset_split.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:51:44,020 | INFO | dataset_split.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:51:44,399 | INFO | dataset_split.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:51:44,401 | INFO | dataset_split.dataset_splitter | Dataset split completed successfully
2026-02-08 00:51:44,402 | INFO | dataset_split.dataset_splitter | Total classes in train: 34
2026-02-08 00:51:44,402 | INFO | dataset_split.dataset_splitter | Total classes in val: 34
2026-02-08 00:51:44,402 | INFO | dataset_split.dataset_splitter | Total classes in test: 34
2026-02-08 00:51:44,448 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:51:44,449 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:51:44,450 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:51:44,451 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:51:44,846 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:51:45,308 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:51:46,043 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:51:46,496 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:51:47,181 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:51:47,795 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:51:48,293 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:51:48,728 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:51:49,433 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:51:49,800 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
